original_parquet_row_index,label,premise,hypothesis,gemma-3-4b-it,bloomz-1b7,llama-3.1-70b-it,Mistral-7B-Instruct
6252,neutral,A kid bored in a train with brown hair and his head lying down.,A child is riding the train from New York to Boston.,neutral,contradiction,neutral,neutral
4684,contradiction,A brown dog and black and white dog run along the green grass.,Two squirrels run after acorns in the grass.,neutral,contradiction,neutral,neutral
1731,neutral,A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.,A female astronaut adjusting to the feeling of low gravity by training underwater.,entailment,contradiction,entailment,neutral
4742,contradiction,An old Indian man dressed in rags sleeps on the ground using his backpack as a pillow.,An old Indian man is dressed up,neutral,contradiction,contradiction,contradiction
4521,neutral,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.,neutral,contradiction,neutral,neutral
6340,neutral,"Two girls (one dressed in blue, and one dressed in pink) are racing one another on rollerskates.",The winner gets a free soda.,neutral,contradiction,neutral,neutral
576,neutral,"Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall.",Parents gathers for a local high school concert,entailment,contradiction,neutral,neutral
5202,neutral,A gray-haired man rides a bike in front of a bus advertising Ironman.,An older man rides his bike and is almost hit by a bus because he is looking at the Ironman poster.,entailment,contradiction,neutral,neutral
6363,neutral,Two men in black jackets behind a white handrail.,The two men are friends,neutral,contradiction,neutral,neutral
439,neutral,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him.,A man is trying to earn money by playing for other people on the street.,entailment,contradiction,entailment,neutral
2750,neutral,A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The girl is smiling because she is having fun.,entailment,contradiction,entailment,neutral
7487,contradiction,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse is dead.,contradiction,contradiction,contradiction,neutral
5272,entailment,A small child in a red jacket is sitting on a man's shoulders and holding his head.,The child's hands are on the man's head.,entailment,entailment,entailment,neutral
5653,neutral,Three men drink at a reflective bar.,Three men are socializing during happy hour.,entailment,contradiction,entailment,neutral
3999,contradiction,Man with black shirt and sunglasses makes something out of a balloon.,A woman cuts celery.,contradiction,contradiction,neutral,neutral
6033,entailment,A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.,A man is at an airport.,entailment,contradiction,entailment,entailment
582,entailment,Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing something.,entailment,contradiction,entailment,neutral
