row_id,label,roberta-sentimentic-125m,tinybert-imdb-15m,llama-3.1-70b-it,distilbert-imdb-67m
33553,positive,negative,negative,positive,negative
9427,positive,positive,positive,positive,positive
199,negative,negative,negative,negative,negative
12447,positive,positive,positive,positive,positive
39489,negative,negative,negative,negative,negative
42724,positive,positive,positive,negative,positive
10822,positive,positive,positive,negative,positive
49498,positive,positive,positive,negative,positive
4144,negative,negative,negative,negative,negative
36958,negative,negative,negative,negative,negative
43106,negative,negative,negative,negative,negative
38695,positive,positive,positive,positive,positive
6188,negative,negative,negative,negative,negative
1414,negative,negative,negative,positive,negative
18471,negative,negative,negative,negative,negative
29282,positive,positive,positive,positive,positive
15177,positive,positive,negative,negative,positive
34304,positive,positive,negative,negative,positive
12609,positive,positive,positive,negative,positive
12144,positive,positive,positive,positive,positive
6113,positive,negative,negative,negative,negative
15908,positive,positive,positive,negative,positive
821,positive,positive,positive,negative,positive
15118,positive,positive,negative,negative,negative
13466,positive,positive,negative,positive,positive
26497,positive,positive,positive,positive,positive
42111,positive,positive,positive,negative,positive
30188,positive,positive,positive,positive,positive
37237,negative,positive,negative,negative,negative
33109,positive,negative,negative,negative,negative
36480,negative,negative,negative,positive,negative
24148,positive,positive,positive,positive,positive
5503,negative,negative,positive,positive,negative
3918,negative,negative,negative,negative,negative
38478,positive,positive,negative,negative,positive
21123,negative,negative,negative,positive,negative
49717,negative,negative,negative,positive,negative
42294,negative,negative,negative,positive,negative
47609,negative,negative,negative,negative,negative
11076,negative,negative,negative,negative,negative
41514,negative,negative,negative,positive,negative
22062,positive,positive,positive,negative,positive
9413,negative,negative,negative,positive,negative
38340,negative,negative,negative,negative,negative
30263,positive,positive,positive,positive,positive
41252,positive,positive,positive,positive,positive
14644,positive,positive,negative,positive,positive
26335,positive,positive,positive,positive,positive
28102,positive,positive,positive,negative,positive
17523,positive,positive,positive,positive,positive
24712,negative,negative,negative,negative,negative
40485,positive,positive,positive,negative,positive
3850,negative,negative,negative,negative,negative
40040,positive,positive,positive,positive,positive
15267,negative,negative,negative,positive,negative
49146,positive,positive,positive,positive,positive
30001,negative,negative,negative,positive,negative
45926,positive,positive,positive,negative,positive
43824,negative,negative,negative,positive,negative
17240,negative,negative,negative,positive,negative
4892,negative,negative,negative,positive,negative
725,negative,negative,negative,positive,negative
22949,negative,negative,negative,negative,negative
34657,negative,negative,negative,negative,negative
37213,positive,positive,negative,negative,positive
20304,positive,positive,positive,positive,positive
15269,negative,negative,negative,negative,negative
22367,negative,negative,negative,negative,negative
42684,negative,negative,positive,negative,negative
46734,negative,negative,negative,positive,positive
11732,negative,negative,negative,positive,negative
18619,negative,negative,negative,positive,negative
48492,negative,negative,negative,negative,negative
26803,negative,negative,negative,negative,negative
44305,positive,positive,positive,negative,positive
47522,positive,positive,positive,positive,positive
32207,negative,negative,negative,positive,negative
2530,positive,positive,positive,positive,positive
17746,negative,negative,negative,positive,negative
8270,negative,negative,positive,positive,positive
15079,negative,negative,negative,negative,negative
13624,negative,negative,negative,negative,negative
30638,positive,positive,positive,negative,positive
30440,positive,positive,positive,negative,positive
36056,positive,positive,positive,negative,positive
42651,negative,negative,negative,negative,negative
36803,positive,positive,positive,negative,positive
48224,positive,positive,positive,negative,positive
29226,positive,positive,positive,positive,positive
5633,positive,positive,positive,positive,positive
5987,negative,negative,negative,negative,negative
48063,negative,negative,negative,positive,negative
1812,negative,negative,negative,negative,positive
27578,negative,negative,negative,positive,negative
16823,positive,negative,positive,positive,positive
3928,positive,positive,positive,positive,positive
37286,positive,positive,positive,positive,positive
25045,positive,positive,positive,positive,positive
15727,positive,positive,positive,positive,positive
29600,positive,positive,positive,negative,positive
10430,positive,positive,positive,negative,positive
25768,negative,negative,negative,negative,negative
29103,negative,negative,negative,positive,negative
36537,positive,positive,positive,positive,positive
39328,negative,negative,negative,negative,negative
35539,positive,positive,negative,negative,positive
28075,negative,negative,negative,positive,negative
17840,negative,negative,negative,positive,negative
27802,positive,positive,positive,negative,positive
7682,negative,negative,negative,negative,negative
24279,negative,negative,negative,negative,negative
33070,negative,negative,negative,positive,negative
35557,negative,negative,negative,positive,negative
37189,negative,negative,negative,positive,negative
47149,negative,negative,negative,positive,negative
46915,negative,negative,negative,negative,negative
9801,positive,positive,positive,negative,positive
38800,positive,positive,positive,positive,positive
24669,positive,positive,positive,negative,positive
44233,positive,positive,positive,negative,positive
31919,negative,negative,negative,negative,negative
7134,positive,positive,positive,negative,positive
33704,positive,positive,positive,positive,positive
29660,positive,positive,positive,positive,positive
